delta,cutoffQ,maxGap,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.025,0.9,200,189 (8.26),100 (6.54),311 (8.26),0.38 (0.02),0.58 (0.02),0.42 (0.01),0.41 (0.02),0.49 (0.02)
0.025,0.9,250,197 (9.13),120 (5.86),303 (9.13),0.39 (0.02),0.53 (0.02),0.41 (0.02),0.39 (0.02),0.49 (0.02)
0.025,0.9,500,199 (9.79),157 (4.93),301 (9.79),0.4 (0.02),0.46 (0.02),0.39 (0.02),0.34 (0.02),0.46 (0.02)
0.025,0.9,750,200 (10.02),168 (12.9),300 (10.02),0.4 (0.02),0.42 (0.02),0.38 (0.02),0.32 (0.02),0.44 (0.02)
0.025,0.9,1e3,192 (8.51),164 (11.8),308 (8.51),0.38 (0.02),0.41 (0.03),0.37 (0.02),0.31 (0.03),0.43 (0.02)
0.025,0.95,200,144 (6.36),58 (2.28),356 (6.36),0.29 (0.01),0.67 (0.02),0.38 (0.01),0.4 (0.02),0.44 (0.02)
0.025,0.95,250,144 (7.87),69 (3.27),356 (7.87),0.29 (0.02),0.63 (0.02),0.36 (0.02),0.38 (0.02),0.44 (0.02)
0.025,0.95,500,138 (8.08),83 (7.73),362 (8.08),0.28 (0.02),0.57 (0.03),0.34 (0.02),0.35 (0.02),0.41 (0.02)
0.025,0.95,750,139 (6.22),93 (4.04),361 (6.22),0.28 (0.01),0.53 (0.03),0.34 (0.02),0.33 (0.02),0.41 (0.02)
0.025,0.95,1e3,134 (7.4),84 (4.39),366 (7.4),0.27 (0.01),0.54 (0.03),0.33 (0.02),0.33 (0.02),0.4 (0.02)
0.025,0.99,200,52 (5.94),13 (2.45),448 (5.94),0.1 (0.01),0.8 (0.03),0.26 (0.01),0.27 (0.02),0.21 (0.02)
0.025,0.99,250,54 (4.21),18 (2.68),446 (4.21),0.11 (0.01),0.75 (0.03),0.26 (0.01),0.26 (0.02),0.21 (0.02)
0.025,0.99,500,50 (1.3),21 (1.87),450 (1.3),0.1 (0),0.67 (0.01),0.24 (0),0.23 (0.01),0.2 (0.01)
0.025,0.99,750,51 (4.76),24 (2.55),449 (4.76),0.1 (0.01),0.66 (0.02),0.24 (0.01),0.23 (0.02),0.2 (0.02)
0.025,0.99,1e3,47 (4.16),24 (2.97),453 (4.16),0.09 (0.01),0.65 (0.02),0.24 (0.01),0.22 (0.01),0.19 (0.02)
0.05,0.9,200,272 (8.32),99 (5.87),228 (8.32),0.54 (0.02),0.68 (0.02),0.59 (0.01),0.57 (0.02),0.64 (0.02)
0.05,0.9,250,281 (10.14),121 (6.22),219 (10.14),0.56 (0.02),0.63 (0.02),0.58 (0.02),0.55 (0.02),0.63 (0.02)
0.05,0.9,500,289 (9.32),159 (4),211 (9.32),0.58 (0.02),0.56 (0.02),0.56 (0.02),0.51 (0.02),0.6 (0.01)
0.05,0.9,750,285 (7.92),168 (13.85),215 (7.92),0.57 (0.02),0.53 (0.02),0.54 (0.02),0.48 (0.02),0.58 (0.02)
0.05,0.9,1e3,278 (5.59),168 (10.47),222 (5.59),0.56 (0.01),0.52 (0.02),0.53 (0.02),0.47 (0.02),0.57 (0.02)
0.05,0.95,200,240 (13.82),55 (2.41),260 (13.82),0.48 (0.03),0.78 (0.01),0.57 (0.02),0.59 (0.02),0.63 (0.02)
0.05,0.95,250,248 (10.92),68 (3.36),252 (10.92),0.5 (0.02),0.75 (0.02),0.56 (0.02),0.58 (0.02),0.63 (0.02)
0.05,0.95,500,239 (10.01),81 (6.11),261 (10.01),0.48 (0.02),0.71 (0.03),0.52 (0.02),0.55 (0.02),0.61 (0.02)
0.05,0.95,750,239 (9.21),92 (6.52),261 (9.21),0.48 (0.02),0.67 (0.02),0.52 (0.02),0.53 (0.02),0.6 (0.02)
0.05,0.95,1e3,228 (8.35),85 (5.1),272 (8.35),0.46 (0.02),0.68 (0.03),0.5 (0.02),0.52 (0.02),0.59 (0.02)
0.05,0.99,200,136 (14.52),12 (2.97),364 (14.52),0.27 (0.03),0.92 (0.01),0.43 (0.02),0.49 (0.02),0.46 (0.04)
0.05,0.99,250,139 (11.21),18 (2.45),361 (11.21),0.28 (0.02),0.89 (0.01),0.42 (0.02),0.49 (0.02),0.47 (0.03)
0.05,0.99,500,128 (7.87),22 (2),372 (7.87),0.26 (0.02),0.84 (0.01),0.39 (0.01),0.45 (0.02),0.43 (0.03)
0.05,0.99,750,127 (9.28),24 (3.44),373 (9.28),0.25 (0.02),0.83 (0.02),0.39 (0.02),0.44 (0.02),0.43 (0.03)
0.05,0.99,1e3,122 (9.74),24 (2.7),378 (9.74),0.24 (0.02),0.83 (0.02),0.38 (0.02),0.43 (0.03),0.42 (0.03)
0.1,0.9,200,278 (9.58),97 (4.76),222 (9.58),0.56 (0.02),0.7 (0.02),0.64 (0.01),0.59 (0.02),0.66 (0.02)
0.1,0.9,250,287 (11.72),117 (5.03),213 (11.72),0.57 (0.02),0.67 (0.02),0.64 (0.02),0.58 (0.02),0.65 (0.02)
0.1,0.9,500,299 (9.91),153 (5.03),201 (9.91),0.6 (0.02),0.6 (0.02),0.64 (0.02),0.55 (0.02),0.64 (0.02)
0.1,0.9,750,297 (7.4),165 (12.72),203 (7.4),0.59 (0.01),0.58 (0.02),0.63 (0.02),0.53 (0.02),0.62 (0.02)
0.1,0.9,1e3,292 (4.97),163 (10.94),208 (4.97),0.58 (0.01),0.57 (0.03),0.62 (0.01),0.52 (0.02),0.61 (0.02)
0.1,0.95,200,272 (10.57),53 (2.45),228 (10.57),0.54 (0.02),0.82 (0.01),0.64 (0.01),0.65 (0.02),0.7 (0.02)
0.1,0.95,250,280 (11.73),66 (2.88),220 (11.73),0.56 (0.02),0.79 (0.02),0.64 (0.02),0.65 (0.02),0.7 (0.02)
0.1,0.95,500,282 (11.39),78 (5.4),218 (11.39),0.56 (0.02),0.76 (0.02),0.63 (0.02),0.63 (0.03),0.69 (0.02)
0.1,0.95,750,276 (9.6),87 (5.92),224 (9.6),0.55 (0.02),0.74 (0.02),0.62 (0.02),0.61 (0.02),0.68 (0.02)
0.1,0.95,1e3,269 (9.09),84 (4.18),231 (9.09),0.54 (0.02),0.74 (0.03),0.61 (0.02),0.61 (0.03),0.67 (0.02)
0.1,0.99,200,244 (19.24),9 (3),256 (19.24),0.49 (0.04),0.97 (0.01),0.62 (0.03),0.68 (0.03),0.69 (0.03)
0.1,0.99,250,252 (19.99),14 (3.19),248 (19.99),0.5 (0.04),0.95 (0.01),0.63 (0.03),0.69 (0.03),0.7 (0.03)
0.1,0.99,500,244 (16.89),18 (2.59),256 (16.89),0.49 (0.03),0.93 (0.01),0.61 (0.02),0.66 (0.03),0.68 (0.03)
0.1,0.99,750,234 (8.75),19 (4.76),266 (8.75),0.47 (0.02),0.92 (0.02),0.59 (0.02),0.65 (0.02),0.66 (0.02)
