delta,combSeed,combDist,method,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1,time
0.025,0.001,200,Comb-p,101 (10.02),0 (0.55),399 (10.02),0.2 (0.02),1 (0.01),0.39 (0.02),0.42 (0.02),0.34 (0.03),55 (0.54)
0.025,0.001,250,Comb-p,109 (10.99),1 (0.84),391 (10.99),0.22 (0.02),0.99 (0),0.4 (0.02),0.43 (0.02),0.36 (0.03),55 (0.91)
0.025,0.001,500,Comb-p,125 (9.64),3 (1.14),375 (9.64),0.25 (0.02),0.98 (0.01),0.43 (0.02),0.46 (0.02),0.39 (0.03),55 (0.75)
0.025,0.001,750,Comb-p,124 (12.42),6 (1.82),376 (12.42),0.25 (0.02),0.96 (0.01),0.42 (0.02),0.45 (0.03),0.39 (0.03),55 (0.62)
0.025,0.001,1e3,Comb-p,122 (12.11),8 (1.95),378 (12.11),0.24 (0.02),0.95 (0.01),0.42 (0.02),0.44 (0.02),0.38 (0.03),57 (3.41)
0.025,0.01,200,Comb-p,121 (10.89),1 (0.71),379 (10.89),0.24 (0.02),0.99 (0.01),0.43 (0.02),0.46 (0.02),0.39 (0.03),55 (1.44)
0.025,0.01,250,Comb-p,132 (9.69),2 (1.22),368 (9.69),0.26 (0.02),0.99 (0.01),0.44 (0.02),0.47 (0.02),0.41 (0.02),54 (0.62)
0.025,0.01,500,Comb-p,161 (9.58),4 (1.14),339 (9.58),0.32 (0.02),0.98 (0.01),0.49 (0.02),0.52 (0.02),0.48 (0.02),55 (0.66)
0.025,0.01,750,Comb-p,167 (9.29),7 (2.07),333 (9.29),0.33 (0.02),0.96 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02),55 (0.22)
0.025,0.01,1e3,Comb-p,164 (11.63),11 (1.64),336 (11.63),0.33 (0.02),0.94 (0.01),0.49 (0.02),0.51 (0.02),0.48 (0.03),56 (0.53)
0.025,0.05,200,Comb-p,130 (8.4),1 (0.71),370 (8.4),0.26 (0.02),0.99 (0.01),0.44 (0.02),0.48 (0.02),0.41 (0.02),55 (0.58)
0.025,0.05,250,Comb-p,142 (8.79),2 (1.22),358 (8.79),0.28 (0.02),0.99 (0.01),0.46 (0.01),0.49 (0.02),0.44 (0.02),55 (0.69)
0.025,0.05,500,Comb-p,188 (5.96),6 (2.17),312 (5.96),0.38 (0.01),0.97 (0.01),0.54 (0.01),0.57 (0.01),0.54 (0.01),55 (0.43)
0.025,0.05,750,Comb-p,198 (8.11),12 (2.86),302 (8.11),0.4 (0.02),0.95 (0.02),0.55 (0.01),0.57 (0.02),0.55 (0.02),55 (0.58)
0.025,0.05,1e3,Comb-p,199 (12.66),14 (2.59),301 (12.66),0.4 (0.03),0.93 (0.01),0.55 (0.02),0.57 (0.02),0.55 (0.03),56 (0.99)
0.025,0.1,200,Comb-p,134 (7.79),1 (0.71),366 (7.79),0.27 (0.02),0.99 (0),0.45 (0.01),0.48 (0.01),0.42 (0.02),55 (0.58)
0.025,0.1,250,Comb-p,147 (7.89),2 (1.22),353 (7.89),0.29 (0.02),0.99 (0.01),0.47 (0.01),0.5 (0.01),0.45 (0.02),55 (0.18)
0.025,0.1,500,Comb-p,201 (3.54),6 (2.05),299 (3.54),0.4 (0.01),0.97 (0.01),0.56 (0.01),0.59 (0.01),0.57 (0.01),55 (1.01)
0.025,0.1,750,Comb-p,211 (10.2),13 (3.19),289 (10.2),0.42 (0.02),0.94 (0.02),0.57 (0.02),0.59 (0.02),0.58 (0.02),55 (0.47)
0.025,0.1,1e3,Comb-p,214 (12.99),16 (2.86),286 (12.99),0.43 (0.03),0.93 (0.02),0.57 (0.02),0.59 (0.03),0.58 (0.03),55 (0.58)
0.05,0.001,200,Comb-p,235 (8.82),2 (1.34),265 (8.82),0.47 (0.02),0.99 (0.01),0.62 (0.01),0.65 (0.01),0.64 (0.02),56 (0.92)
0.05,0.001,250,Comb-p,243 (10.71),3 (1.52),257 (10.71),0.49 (0.02),0.99 (0.01),0.63 (0.02),0.66 (0.02),0.65 (0.02),56 (0.44)
0.05,0.001,500,Comb-p,283 (9.34),5 (1.58),217 (9.34),0.57 (0.02),0.98 (0.01),0.69 (0.02),0.71 (0.02),0.72 (0.02),55 (0.55)
0.05,0.001,750,Comb-p,297 (10.92),7 (2.3),203 (10.92),0.59 (0.02),0.98 (0.01),0.71 (0.02),0.73 (0.02),0.74 (0.02),56 (0.84)
0.05,0.001,1e3,Comb-p,293 (8.51),12 (3.56),207 (8.51),0.59 (0.02),0.96 (0.01),0.69 (0.01),0.72 (0.01),0.73 (0.01),56 (0.21)
0.05,0.01,200,Comb-p,251 (9.26),2 (1.3),249 (9.26),0.5 (0.02),0.99 (0.01),0.64 (0.01),0.67 (0.01),0.67 (0.02),56 (0.34)
0.05,0.01,250,Comb-p,262 (8.85),3 (1.82),238 (8.85),0.52 (0.02),0.99 (0.01),0.66 (0.01),0.69 (0.01),0.68 (0.02),55 (0.5)
0.05,0.01,500,Comb-p,314 (8.2),6 (2.07),186 (8.2),0.63 (0.02),0.98 (0.01),0.73 (0.01),0.76 (0.01),0.77 (0.01),56 (0.28)
0.05,0.01,750,Comb-p,331 (10.88),11 (3.27),169 (10.88),0.66 (0.02),0.97 (0.01),0.75 (0.02),0.77 (0.02),0.79 (0.02),56 (0.14)
0.05,0.01,1e3,Comb-p,339 (6.24),17 (4.53),161 (6.24),0.68 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.79 (0.01),56 (0.69)
0.05,0.05,200,Comb-p,256 (9.86),2 (1.3),244 (9.86),0.51 (0.02),0.99 (0.01),0.65 (0.01),0.68 (0.02),0.67 (0.02),55 (0.43)
0.05,0.05,250,Comb-p,268 (10.44),3 (1.82),232 (10.44),0.54 (0.02),0.99 (0.01),0.67 (0.02),0.7 (0.01),0.69 (0.02),56 (0.44)
0.05,0.05,500,Comb-p,329 (7.66),6 (2.3),171 (7.66),0.66 (0.02),0.98 (0.01),0.75 (0.01),0.78 (0.01),0.79 (0.01),56 (0.44)
0.05,0.05,750,Comb-p,352 (10.55),13 (3.58),148 (10.55),0.7 (0.02),0.97 (0.01),0.78 (0.02),0.8 (0.02),0.81 (0.02),56 (0.37)
0.05,0.05,1e3,Comb-p,364 (6.94),20 (5),136 (6.94),0.73 (0.01),0.95 (0.01),0.79 (0.01),0.8 (0.01),0.82 (0.01),56 (0.58)
0.05,0.1,200,Comb-p,259 (8.51),2 (1.3),241 (8.51),0.52 (0.02),0.99 (0),0.66 (0.01),0.68 (0.01),0.68 (0.02),56 (0.55)
0.05,0.1,250,Comb-p,273 (9.51),3 (1.82),227 (9.51),0.55 (0.02),0.99 (0.01),0.68 (0.01),0.7 (0.01),0.7 (0.02),56 (0.34)
0.05,0.1,500,Comb-p,335 (5.12),7 (2.3),165 (5.12),0.67 (0.01),0.98 (0.01),0.76 (0.01),0.78 (0.01),0.79 (0.01),56 (0.76)
0.05,0.1,750,Comb-p,361 (9.34),13 (3.58),139 (9.34),0.72 (0.02),0.97 (0.01),0.8 (0.02),0.81 (0.01),0.82 (0.01),56 (0.41)
0.05,0.1,1e3,Comb-p,373 (6.3),22 (5.17),127 (6.3),0.75 (0.01),0.94 (0.01),0.8 (0),0.81 (0.01),0.83 (0.01),56 (0.67)
0.1,0.001,200,Comb-p,343 (9.85),2 (1.41),157 (9.85),0.69 (0.02),0.99 (0),0.78 (0.01),0.8 (0.01),0.81 (0.01),56 (0.66)
0.1,0.001,250,Comb-p,359 (11.01),3 (1.82),141 (11.01),0.72 (0.02),0.99 (0),0.8 (0.02),0.82 (0.02),0.83 (0.02),56 (0.81)
0.1,0.001,500,Comb-p,413 (3.42),6 (2.55),87 (3.42),0.83 (0.01),0.99 (0.01),0.87 (0.01),0.89 (0.01),0.9 (0.01),56 (0.43)
0.1,0.001,750,Comb-p,431 (4.21),11 (4.44),69 (4.21),0.86 (0.01),0.98 (0.01),0.89 (0.01),0.9 (0.01),0.91 (0.01),56 (0.84)
0.1,0.001,1e3,Comb-p,432 (2.55),16 (4.97),68 (2.55),0.86 (0.01),0.97 (0.01),0.88 (0.01),0.9 (0.01),0.91 (0.01),57 (0.51)
0.1,0.01,200,Comb-p,349 (10.09),3 (1.3),151 (10.09),0.7 (0.02),0.99 (0),0.79 (0.02),0.81 (0.01),0.82 (0.01),56 (1.04)
0.1,0.01,250,Comb-p,367 (9.87),4 (2.07),133 (9.87),0.73 (0.02),0.99 (0.01),0.81 (0.02),0.83 (0.01),0.84 (0.01),56 (0.3)
0.1,0.01,500,Comb-p,421 (5.32),8 (2.61),79 (5.32),0.84 (0.01),0.98 (0.01),0.88 (0.01),0.89 (0.01),0.91 (0.01),56 (0.61)
0.1,0.01,750,Comb-p,443 (2.68),13 (4.16),57 (2.68),0.89 (0.01),0.97 (0.01),0.91 (0.01),0.91 (0.01),0.93 (0.01),57 (0.76)
