"Method","Delta","Mean","StdDev"
"DMRcate","0.025",20.656,0.235860128042026
"DMRcate","0.05",20.46,0.43318587234582
"DMRcate","0.1",20.652,1.68768184205438
"DMRcate","0.15",20.288,0.467995726476225
"DMRcate","0.2",20.452,1.42631342979029
"DMRcate","0.3",20.5740000000001,1.20491908442017
"DMRcate","0.4",20.194,0.946165947389837
"ProbeLasso","0.025",6.52000000000007,0.416473288459029
"ProbeLasso","0.05",17.252,0.827478096386765
"ProbeLasso","0.1",18.1299999999999,0.157638827704288
"ProbeLasso","0.15",18.2540000000001,0.0876356092008195
"ProbeLasso","0.2",19.1980000000001,1.91512923845858
"ProbeLasso","0.3",18.1840000000002,0.0642650760524879
"ProbeLasso","0.4",18.5879999999999,0.216725633001474
"Bumphunter","0.025",157.322,4.41704878850144
"Bumphunter","0.05",159.818,3.88046002427532
"Bumphunter","0.1",162.666,6.91991907467158
"Bumphunter","0.15",160.47,10.1117184494031
"Bumphunter","0.2",157.13,6.39244867011005
"Bumphunter","0.3",155.056,9.55754047859561
"Bumphunter","0.4",155.893999999999,12.2391453950025
