delta,lambda,C,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.025,200,1,25 (2.59),0 (0),475 (2.59),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.025,200,2,33 (3.91),0 (0),467 (3.91),0.07 (0.01),1 (0),0.25 (0.01),0.23 (0.01),0.12 (0.01)
0.025,200,3,29 (2.17),0 (0),471 (2.17),0.06 (0),1 (0),0.24 (0.01),0.22 (0.01),0.11 (0.01)
0.025,200,4,27 (1.41),0 (0),473 (1.41),0.05 (0),1 (0),0.23 (0),0.21 (0.01),0.1 (0.01)
0.025,200,5,24 (2.19),0 (0),476 (2.19),0.05 (0),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.025,250,1,18 (4.51),0 (0),482 (4.51),0.04 (0.01),1 (0),0.21 (0.01),0.17 (0.02),0.07 (0.02)
0.025,250,2,30 (4.32),0 (0),470 (4.32),0.06 (0.01),1 (0),0.24 (0.01),0.22 (0.02),0.11 (0.02)
0.025,250,3,32 (3.96),0 (0),468 (3.96),0.06 (0.01),1 (0),0.25 (0.01),0.23 (0.01),0.12 (0.01)
0.025,250,4,29 (1.34),0 (0),471 (1.34),0.06 (0),1 (0),0.24 (0),0.22 (0.01),0.11 (0.01)
0.025,250,5,27 (1.48),0 (0),473 (1.48),0.05 (0),1 (0),0.24 (0),0.21 (0.01),0.1 (0.01)
0.025,500,1,8 (2.51),0 (0),492 (2.51),0.02 (0.01),1 (0),0.19 (0.01),0.12 (0.02),0.03 (0.01)
0.025,500,2,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,500,3,26 (4.98),0 (0),474 (4.98),0.05 (0.01),1 (0),0.23 (0.01),0.21 (0.02),0.1 (0.02)
0.025,500,4,30 (4.32),0 (0),470 (4.32),0.06 (0.01),1 (0),0.24 (0.01),0.22 (0.02),0.11 (0.02)
0.025,500,5,32 (4.34),0 (0.45),468 (4.34),0.06 (0.01),0.99 (0.01),0.25 (0.01),0.23 (0.02),0.12 (0.02)
0.025,750,1,4 (0.45),0 (0),496 (0.45),0.01 (0),1 (0),0.18 (0),0.08 (0),0.02 (0)
0.025,750,2,14 (2.17),0 (0.45),486 (2.17),0.03 (0),0.98 (0.04),0.2 (0.01),0.15 (0.01),0.05 (0.01)
0.025,750,3,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,750,4,25 (4.09),0 (0),475 (4.09),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.02),0.1 (0.02)
0.025,750,5,27 (4.15),0 (0),473 (4.15),0.05 (0.01),1 (0),0.23 (0.01),0.21 (0.02),0.1 (0.02)
0.025,1e3,1,3 (0.84),0 (0),497 (0.84),0.01 (0),1 (0),0.17 (0),0.07 (0.01),0.01 (0)
0.025,1e3,2,8 (2.51),0 (0),492 (2.51),0.02 (0.01),1 (0),0.19 (0.01),0.12 (0.02),0.03 (0.01)
0.025,1e3,3,16 (2.59),0 (0),484 (2.59),0.03 (0.01),1 (0),0.21 (0.01),0.16 (0.01),0.06 (0.01)
0.025,1e3,4,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,1e3,5,25 (2.83),0 (0),475 (2.83),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.05,200,1,153 (11.34),4 (0.84),347 (11.34),0.31 (0.02),0.98 (0.01),0.48 (0.02),0.51 (0.02),0.46 (0.03)
0.05,200,2,178 (9.78),3 (1.22),322 (9.78),0.36 (0.02),0.98 (0.01),0.52 (0.02),0.56 (0.02),0.52 (0.02)
0.05,200,3,174 (7.12),2 (1.1),326 (7.12),0.35 (0.01),0.99 (0.01),0.52 (0.01),0.55 (0.01),0.51 (0.02)
0.05,200,4,166 (8.05),1 (1.14),334 (8.05),0.33 (0.02),0.99 (0.01),0.51 (0.01),0.54 (0.02),0.5 (0.02)
0.05,200,5,167 (8.73),1 (0.89),333 (8.73),0.33 (0.02),0.99 (0.01),0.51 (0.02),0.54 (0.02),0.5 (0.02)
0.05,250,1,141 (10.83),3 (1.34),359 (10.83),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.44 (0.03)
0.05,250,2,172 (8.34),3 (1.95),328 (8.34),0.34 (0.02),0.98 (0.01),0.51 (0.01),0.54 (0.02),0.51 (0.02)
0.05,250,3,177 (8.01),2 (0.84),323 (8.01),0.35 (0.02),0.99 (0),0.52 (0.01),0.55 (0.01),0.52 (0.02)
0.05,250,4,173 (7.92),2 (1.1),327 (7.92),0.35 (0.02),0.99 (0.01),0.52 (0.01),0.55 (0.01),0.51 (0.02)
0.05,250,5,168 (8.26),1 (1.14),332 (8.26),0.34 (0.02),0.99 (0.01),0.51 (0.01),0.54 (0.02),0.5 (0.02)
0.05,500,1,93 (8.08),2 (1.34),407 (8.08),0.19 (0.02),0.98 (0.01),0.37 (0.02),0.39 (0.02),0.31 (0.02)
0.05,500,2,140 (11.39),3 (1.3),360 (11.39),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,500,3,163 (10.08),4 (0.84),337 (10.08),0.33 (0.02),0.98 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02)
0.05,500,4,172 (8.62),3 (1.95),328 (8.62),0.34 (0.02),0.98 (0.01),0.51 (0.01),0.54 (0.02),0.51 (0.02)
0.05,500,5,178 (9.63),3 (1.22),322 (9.63),0.36 (0.02),0.98 (0.01),0.52 (0.02),0.55 (0.02),0.52 (0.02)
0.05,750,1,69 (7.01),1 (1.22),431 (7.01),0.14 (0.01),0.99 (0.02),0.32 (0.02),0.34 (0.02),0.24 (0.02)
0.05,750,2,115 (12.99),3 (2.41),385 (12.99),0.23 (0.03),0.98 (0.02),0.41 (0.03),0.44 (0.03),0.37 (0.03)
0.05,750,3,140 (11.63),3 (1.3),360 (11.63),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,750,4,156 (9.43),4 (1.1),344 (9.43),0.31 (0.02),0.98 (0.01),0.48 (0.02),0.51 (0.02),0.47 (0.02)
0.05,750,5,166 (8.53),4 (1.1),334 (8.53),0.33 (0.02),0.98 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02)
0.05,1e3,1,52 (5.85),1 (0.84),448 (5.85),0.1 (0.01),0.98 (0.02),0.29 (0.01),0.29 (0.02),0.18 (0.02)
0.05,1e3,2,93 (8.77),2 (1.34),407 (8.77),0.19 (0.02),0.98 (0.01),0.37 (0.02),0.39 (0.02),0.31 (0.03)
0.05,1e3,3,123 (11.82),3 (2.17),377 (11.82),0.25 (0.02),0.98 (0.02),0.43 (0.02),0.45 (0.03),0.39 (0.03)
0.05,1e3,4,140 (11.63),3 (1.3),360 (11.63),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,1e3,5,153 (11.41),4 (1.52),347 (11.41),0.31 (0.02),0.97 (0.01),0.48 (0.02),0.51 (0.02),0.46 (0.03)
0.1,200,1,284 (9.76),9 (1.67),216 (9.76),0.57 (0.02),0.97 (0.01),0.69 (0.01),0.71 (0.01),0.72 (0.02)
0.1,200,2,317 (9.68),8 (3.67),183 (9.68),0.63 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.02)
0.1,200,3,319 (11.12),5 (2.55),181 (11.12),0.64 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.02)
0.1,200,4,316 (12.4),4 (2.45),184 (12.4),0.63 (0.02),0.99 (0.01),0.74 (0.02),0.76 (0.02),0.77 (0.02)
0.1,200,5,315 (12.14),2 (1.34),185 (12.14),0.63 (0.02),0.99 (0),0.74 (0.02),0.76 (0.02),0.77 (0.02)
0.1,250,1,266 (11.9),9 (0.84),234 (11.9),0.53 (0.02),0.97 (0),0.66 (0.02),0.68 (0.02),0.68 (0.02)
0.1,250,2,313 (7.79),9 (3.11),187 (7.79),0.63 (0.02),0.97 (0.01),0.73 (0.01),0.75 (0.01),0.76 (0.01)
0.1,250,3,322 (8.46),7 (2.39),178 (8.46),0.64 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.78 (0.01)
0.1,250,4,324 (11.48),5 (2.35),176 (11.48),0.65 (0.02),0.98 (0.01),0.75 (0.02),0.77 (0.02),0.78 (0.02)
0.1,250,5,323 (12.14),4 (2.17),177 (12.14),0.65 (0.02),0.99 (0.01),0.75 (0.02),0.77 (0.02),0.78 (0.02)
0.1,500,1,192 (6.06),6 (2.95),308 (6.06),0.38 (0.01),0.97 (0.01),0.54 (0.01),0.57 (0.01),0.55 (0.01)
0.1,500,2,268 (13.37),10 (1.48),232 (13.37),0.54 (0.03),0.97 (0),0.66 (0.02),0.68 (0.02),0.69 (0.02)
0.1,500,3,302 (10.47),8 (2.3),198 (10.47),0.6 (0.02),0.97 (0.01),0.71 (0.02),0.73 (0.01),0.74 (0.02)
0.1,500,4,318 (7.35),9 (3.11),182 (7.35),0.64 (0.01),0.97 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.01)
0.1,500,5,326 (9.29),8 (3.35),174 (9.29),0.65 (0.02),0.98 (0.01),0.75 (0.01),0.77 (0.01),0.78 (0.01)
