delta,adjPval,mLassoRad,minDmrSep,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.025,0.001,375,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,375,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,375,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,375,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,375,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,700,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,700,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,700,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,700,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,700,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,1e3,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,1e3,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,1e3,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,1e3,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.001,1e3,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,375,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,375,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,375,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,375,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,375,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,700,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,700,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,700,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,700,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,700,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,1e3,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,1e3,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,1e3,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,1e3,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.01,1e3,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,375,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,375,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,375,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,375,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,375,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,700,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,700,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,700,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,700,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,700,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,1e3,200,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,1e3,250,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,1e3,500,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,1e3,750,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.05,1e3,1e3,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA)
0.025,0.1,375,200,2 (2.07),0 (0),498 (2.07),0 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,375,250,2 (2.07),0 (0),498 (2.07),0 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,375,500,2 (2.07),0 (0),498 (2.07),0 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,375,750,2 (2.07),0 (0),498 (2.07),0 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,375,1e3,2 (2.07),0 (0),498 (2.07),0 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,700,200,2 (1.64),0 (0),498 (1.64),0 (0),1 (0),0.17 (0),0.06 (0.02),0.01 (0)
0.025,0.1,700,250,2 (1.64),0 (0),498 (1.64),0 (0),1 (0),0.17 (0),0.06 (0.02),0.01 (0)
0.025,0.1,700,500,2 (1.64),0 (0),498 (1.64),0 (0),1 (0),0.17 (0),0.06 (0.02),0.01 (0)
0.025,0.1,700,750,2 (1.64),0 (0),498 (1.64),0 (0),1 (0),0.17 (0),0.06 (0.02),0.01 (0)
0.025,0.1,700,1e3,2 (1.64),0 (0),498 (1.64),0 (0),1 (0),0.17 (0),0.06 (0.02),0.01 (0)
0.025,0.1,1e3,200,3 (2.07),0 (0),497 (2.07),0.01 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,1e3,250,3 (2.07),0 (0),497 (2.07),0.01 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,1e3,500,3 (2.07),0 (0),497 (2.07),0.01 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,1e3,750,3 (2.07),0 (0),497 (2.07),0.01 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.025,0.1,1e3,1e3,3 (2.07),0 (0),497 (2.07),0.01 (0),1 (0),0.17 (0.01),0.07 (0.02),0.01 (0.01)
0.05,0.001,375,200,36 (6.83),3 (1.22),464 (6.83),0.07 (0.01),0.94 (0.03),0.25 (0.02),0.23 (0.02),0.13 (0.02)
0.05,0.001,375,250,36 (6.83),3 (1.22),464 (6.83),0.07 (0.01),0.94 (0.03),0.25 (0.02),0.23 (0.02),0.13 (0.02)
0.05,0.001,375,500,36 (6.83),3 (1.22),464 (6.83),0.07 (0.01),0.94 (0.03),0.25 (0.02),0.23 (0.02),0.13 (0.02)
0.05,0.001,375,750,36 (6.83),3 (1.22),464 (6.83),0.07 (0.01),0.94 (0.03),0.25 (0.02),0.23 (0.02),0.13 (0.02)
0.05,0.001,375,1e3,36 (6.83),3 (1.22),464 (6.83),0.07 (0.01),0.94 (0.03),0.25 (0.02),0.23 (0.02),0.13 (0.02)
0.05,0.001,700,200,58 (8.62),6 (1.3),442 (8.62),0.12 (0.02),0.93 (0.01),0.3 (0.02),0.3 (0.02),0.2 (0.03)
0.05,0.001,700,250,58 (8.62),6 (1.3),442 (8.62),0.12 (0.02),0.93 (0.01),0.3 (0.02),0.3 (0.02),0.2 (0.03)
0.05,0.001,700,500,58 (8.62),6 (1.3),442 (8.62),0.12 (0.02),0.93 (0.01),0.3 (0.02),0.3 (0.02),0.2 (0.03)
0.05,0.001,700,750,58 (8.62),6 (1.3),442 (8.62),0.12 (0.02),0.93 (0.01),0.3 (0.02),0.3 (0.02),0.2 (0.03)
0.05,0.001,700,1e3,58 (8.62),6 (1.3),442 (8.62),0.12 (0.02),0.93 (0.01),0.3 (0.02),0.3 (0.02),0.2 (0.03)
0.05,0.001,1e3,200,77 (13.33),8 (2.07),423 (13.33),0.15 (0.03),0.93 (0.02),0.34 (0.03),0.34 (0.04),0.26 (0.04)
0.05,0.001,1e3,250,77 (13.33),8 (2.07),423 (13.33),0.15 (0.03),0.93 (0.02),0.34 (0.03),0.34 (0.04),0.26 (0.04)
0.05,0.001,1e3,500,77 (13.33),9 (1.95),423 (13.33),0.15 (0.03),0.93 (0.02),0.34 (0.03),0.34 (0.04),0.26 (0.04)
0.05,0.001,1e3,750,77 (13.33),9 (1.95),423 (13.33),0.15 (0.03),0.93 (0.02),0.34 (0.03),0.34 (0.04),0.26 (0.04)
0.05,0.001,1e3,1e3,77 (13.33),9 (1.95),423 (13.33),0.15 (0.03),0.93 (0.02),0.34 (0.03),0.34 (0.04),0.26 (0.04)
0.05,0.01,375,200,84 (8.6),4 (1.82),416 (8.6),0.17 (0.02),0.96 (0.02),0.35 (0.02),0.36 (0.02),0.28 (0.03)
0.05,0.01,375,250,84 (8.6),4 (1.82),416 (8.6),0.17 (0.02),0.96 (0.02),0.35 (0.02),0.36 (0.02),0.28 (0.03)
0.05,0.01,375,500,85 (8.47),4 (1.82),415 (8.47),0.17 (0.02),0.96 (0.02),0.35 (0.02),0.37 (0.02),0.28 (0.03)
0.05,0.01,375,750,85 (8.47),4 (1.82),415 (8.47),0.17 (0.02),0.96 (0.02),0.35 (0.02),0.37 (0.02),0.28 (0.02)
0.05,0.01,375,1e3,85 (8.17),4 (1.82),415 (8.17),0.17 (0.02),0.96 (0.02),0.35 (0.02),0.36 (0.02),0.28 (0.02)
